datetime_utc,PRECTOTCORR,RH2M,T2M,WS2M
2025010100,0.02,86.0,21.16,1.79
2025010101,0.16,95.31,20.22,1.63
2025010102,0.38,100.0,19.47,1.51
2025010103,0.41,100.0,19.0,1.48
2025010104,0.42,100.0,18.77,1.51
2025010105,0.45,100.0,18.57,1.54
2025010106,0.43,100.0,18.38,1.54
2025010107,0.42,100.0,18.21,1.53
2025010108,0.44,100.0,18.05,1.5
2025010109,0.43,100.0,17.85,1.43
2025010110,0.38,100.0,17.44,1.25
2025010111,0.37,100.0,16.93,1.09
2025010112,0.05,100.0,17.2,0.98
2025010113,0.06,92.71,20.01,2.0
2025010114,0.01,79.99,21.5,2.66
2025010115,0.0,62.55,23.49,2.47
2025010116,0.0,50.62,25.13,2.17
2025010117,0.0,42.51,26.23,2.13
2025010118,0.0,36.47,26.9,2.35
2025010119,0.0,31.65,27.11,2.6
2025010120,0.0,28.99,26.58,2.76
2025010121,0.0,32.96,24.85,2.32
2025010122,0.0,41.69,20.44,1.59
2025010123,0.0,43.84,18.6,2.11
2025010200,0.0,47.27,17.58,2.53
2025010201,0.0,54.03,15.83,2.26
2025010202,0.0,61.47,14.32,2.05
2025010203,0.0,67.18,13.4,2.18
2025010204,0.0,70.21,12.78,2.67
2025010205,0.0,71.18,12.16,3.14
2025010206,0.0,71.42,11.54,3.33
2025010207,0.0,73.34,10.86,3.27
2025010208,0.0,76.85,10.16,3.16
2025010209,0.0,80.76,9.55,3.0
2025010210,0.0,84.41,9.0,2.81
2025010211,0.0,88.21,8.48,2.67
2025010212,0.0,88.96,8.58,3.11
2025010213,0.0,78.77,10.76,3.46
2025010214,0.0,62.1,14.73,3.39
2025010215,0.0,48.03,18.42,3.41
2025010216,0.0,42.67,20.21,2.94
2025010217,0.0,38.99,21.42,2.63
2025010218,0.0,36.5,22.16,2.52
2025010219,0.0,34.68,22.41,2.57
2025010220,0.0,34.58,22.0,2.64
2025010221,0.0,38.86,20.67,2.32
2025010222,0.0,51.79,16.91,1.4
2025010223,0.0,59.04,15.49,1.76
2025010300,0.0,66.44,14.79,2.08
2025010301,0.0,74.35,13.79,2.09
2025010302,0.0,80.96,12.93,2.19
2025010303,0.0,85.69,12.19,2.21
2025010304,0.0,88.35,11.56,2.17
2025010305,0.0,90.04,11.02,2.1
2025010306,0.0,91.22,10.4,2.06
2025010307,0.0,89.54,10.09,2.42
2025010308,0.0,87.77,9.76,2.83
2025010309,0.0,88.1,9.1,2.8
2025010310,0.0,88.87,8.52,2.49
2025010311,0.0,89.43,8.09,2.11
2025010312,0.0,88.25,8.12,2.34
2025010313,0.0,76.74,10.15,2.92
2025010314,0.0,61.4,13.53,2.44
2025010315,0.0,40.52,17.68,2.52
2025010316,0.0,27.88,20.88,2.3
2025010317,0.0,22.92,22.47,2.41
2025010318,0.0,20.8,23.2,2.53
2025010319,0.0,20.07,23.27,2.98
2025010320,0.0,20.96,22.6,3.39
2025010321,0.0,26.12,20.89,2.89
2025010322,0.0,36.52,16.37,1.59
2025010323,0.0,40.1,14.12,1.69
2025010400,0.0,42.95,13.04,1.9
2025010401,0.0,47.09,11.95,1.94
2025010402,0.0,54.22,10.91,1.82
2025010403,0.0,63.45,10.16,1.82
2025010404,0.0,74.44,9.74,1.98
2025010405,0.0,84.62,9.49,2.21
2025010406,0.0,92.22,9.26,2.3
2025010407,0.04,98.09,9.0,2.3
2025010408,0.05,100.0,8.87,2.51
2025010409,0.01,99.73,8.76,2.86
2025010410,0.0,94.4,8.31,2.99
2025010411,0.0,88.54,7.57,2.96
2025010412,0.0,81.1,7.28,3.24
2025010413,0.0,60.98,9.23,4.07
2025010414,0.0,37.52,11.95,4.69
2025010415,0.0,29.03,14.42,4.34
2025010416,0.0,26.0,16.6,3.98
2025010417,0.0,24.87,18.45,3.65
2025010418,0.0,23.85,19.88,3.3
2025010419,0.0,23.63,20.58,3.02
2025010420,0.0,24.83,20.41,2.84
2025010421,0.0,30.14,19.09,2.3
2025010422,0.0,43.26,14.63,1.27
2025010423,0.0,49.75,12.53,1.45
2025010500,0.0,55.6,11.59,1.57
2025010501,0.0,61.3,10.67,1.56
2025010502,0.0,66.24,9.76,1.41
2025010503,0.0,70.34,8.99,1.29
2025010504,0.0,73.08,8.42,1.23
2025010505,0.0,75.31,7.97,1.25
2025010506,0.0,77.09,7.59,1.3
2025010507,0.0,78.48,7.32,1.39
2025010508,0.0,79.03,7.15,1.54
2025010509,0.0,78.78,7.01,1.7
2025010510,0.0,79.7,6.75,1.74
2025010511,0.0,83.61,6.33,1.6
2025010512,0.0,84.31,6.83,1.51
2025010513,0.0,70.15,10.4,2.46
2025010514,0.0,59.36,13.84,2.06
2025010515,0.0,41.14,18.94,2.8
2025010516,0.0,31.58,21.7,2.67
2025010517,0.0,28.07,23.15,2.54
2025010518,0.0,28.07,23.89,2.45
2025010519,0.0,29.42,24.04,2.53
2025010520,0.0,32.29,23.58,2.55
2025010521,0.0,40.49,22.13,1.85
2025010522,0.0,56.02,17.99,1.08
2025010523,0.0,66.25,16.21,1.26
2025010600,0.0,76.2,15.53,1.38
2025010601,0.0,84.84,14.95,1.52
2025010602,0.0,91.3,14.54,1.64
2025010603,0.0,96.17,14.12,1.71
2025010604,0.0,100.0,13.62,1.71
2025010605,0.0,100.0,13.07,1.62
2025010606,0.0,100.0,12.52,1.45
2025010607,0.02,100.0,12.16,1.29
2025010608,0.11,100.0,12.02,1.24
2025010609,0.12,100.0,12.13,1.34
2025010610,0.11,100.0,12.54,1.59
2025010611,0.09,100.0,13.58,2.2
2025010612,0.08,98.89,14.81,3.24
2025010613,0.03,89.91,16.85,4.3
2025010614,0.0,76.02,19.95,4.78
2025010615,0.0,60.52,23.46,5.91
2025010616,0.0,53.4,25.5,6.35
2025010617,0.0,50.91,26.5,6.37
2025010618,0.0,50.45,26.88,6.41
2025010619,0.0,52.13,26.61,6.42
2025010620,0.01,55.4,26.0,6.32
2025010621,0.02,60.97,24.94,5.86
2025010622,0.06,70.15,23.23,4.94
2025010623,0.1,78.92,22.04,4.97
2025010700,0.23,86.29,21.38,4.76
2025010701,1.95,91.9,20.75,4.4
2025010702,1.15,92.08,19.53,4.35
2025010703,0.11,87.02,17.19,4.39
2025010704,0.01,86.94,15.08,3.91
2025010705,0.12,90.95,13.79,3.42
2025010706,0.08,91.08,12.94,3.55
2025010707,0.01,81.56,12.01,3.93
2025010708,0.0,74.32,10.8,4.14
2025010709,0.0,69.9,9.48,4.2
2025010710,0.0,68.96,8.14,4.12
2025010711,0.0,70.35,6.91,3.97
2025010712,0.0,70.91,6.12,4.1
2025010713,0.0,61.69,6.78,4.67
2025010714,0.0,51.95,8.29,4.48
2025010715,0.0,46.01,10.01,4.05
2025010716,0.0,42.96,11.55,3.69
2025010717,0.0,40.75,12.84,3.51
2025010718,0.0,39.64,13.78,3.38
2025010719,0.01,39.98,14.08,3.27
2025010720,0.01,41.35,14.18,3.19
2025010721,0.02,45.48,13.59,2.97
2025010722,0.02,55.03,11.71,1.84
2025010723,0.01,62.66,10.88,1.79
2025010800,0.0,70.39,10.1,1.9
