datetime_utc,ALLSKY_SFC_SW_DWN,GWETROOT,GWETTOP,PRECTOTCORR,PS,QV2M,RH2M,T2M,TS,WS2M
2025010100,0.0,0.32,0.31,0.02,101.2,13.39,86.0,21.16,20.32,1.79
2025010101,0.0,0.32,0.31,0.16,101.27,14.0,95.31,20.22,19.46,1.63
2025010102,0.0,0.32,0.31,0.38,101.32,14.43,100.0,19.47,18.75,1.51
2025010103,0.0,0.32,0.31,0.41,101.33,14.54,100.0,19.0,18.25,1.48
2025010104,0.0,0.32,0.31,0.42,101.33,14.48,100.0,18.77,17.96,1.51
2025010105,0.0,0.32,0.31,0.45,101.31,14.36,100.0,18.57,17.72,1.54
2025010106,0.0,0.32,0.31,0.43,101.31,14.17,100.0,18.38,17.51,1.54
2025010107,0.0,0.32,0.31,0.42,101.32,13.96,100.0,18.21,17.33,1.53
2025010108,0.0,0.32,0.32,0.44,101.33,13.72,100.0,18.05,17.19,1.5
2025010109,0.0,0.32,0.32,0.43,101.34,13.44,100.0,17.85,16.99,1.43
2025010110,0.0,0.32,0.32,0.38,101.38,13.08,100.0,17.44,16.51,1.25
2025010111,0.0,0.32,0.32,0.37,101.43,12.68,100.0,16.93,15.89,1.09
2025010112,21.2,0.32,0.32,0.05,101.49,12.54,100.0,17.2,16.74,0.98
2025010113,186.8,0.32,0.32,0.06,101.55,13.4,92.71,20.01,20.66,2.0
2025010114,380.0,0.32,0.32,0.01,101.61,12.66,79.99,21.5,23.23,2.66
2025010115,536.38,0.32,0.32,0.0,101.63,11.16,62.55,23.49,26.9,2.47
2025010116,639.65,0.32,0.31,0.0,101.6,9.96,50.62,25.13,29.13,2.17
2025010117,657.33,0.32,0.31,0.0,101.52,8.93,42.51,26.23,30.16,2.13
2025010118,628.5,0.32,0.3,0.0,101.44,7.97,36.47,26.9,30.16,2.35
2025010119,536.5,0.32,0.3,0.0,101.42,7.0,31.65,27.11,29.52,2.6
2025010120,377.67,0.32,0.29,0.0,101.45,6.21,28.99,26.58,27.46,2.76
2025010121,185.48,0.32,0.29,0.0,101.5,6.37,32.96,24.85,24.15,2.32
2025010122,20.23,0.32,0.29,0.0,101.57,6.16,41.69,20.44,18.69,1.59
2025010123,0.0,0.32,0.29,0.0,101.67,5.77,43.84,18.6,17.43,2.11
2025010200,0.0,0.32,0.29,0.0,101.77,5.83,47.27,17.58,16.59,2.53
2025010201,0.0,0.32,0.29,0.0,101.83,5.96,54.03,15.83,14.82,2.26
2025010202,0.0,0.32,0.29,0.0,101.87,6.15,61.47,14.32,13.45,2.05
2025010203,0.0,0.32,0.3,0.0,101.91,6.33,67.18,13.4,12.73,2.18
2025010204,0.0,0.32,0.3,0.0,101.95,6.35,70.21,12.78,12.23,2.67
2025010205,0.0,0.32,0.3,0.0,101.96,6.18,71.18,12.16,11.7,3.14
2025010206,0.0,0.32,0.3,0.0,101.97,5.95,71.42,11.54,11.16,3.33
2025010207,0.0,0.32,0.3,0.0,101.97,5.84,73.34,10.86,10.46,3.27
2025010208,0.0,0.32,0.3,0.0,101.98,5.84,76.85,10.16,9.74,3.16
2025010209,0.0,0.32,0.3,0.0,102.0,5.89,80.76,9.55,9.15,3.0
2025010210,0.0,0.32,0.3,0.0,102.03,5.93,84.41,9.0,8.6,2.81
2025010211,0.0,0.32,0.3,0.0,102.08,5.98,88.21,8.48,8.04,2.67
2025010212,22.6,0.32,0.3,0.0,102.13,6.07,88.96,8.58,8.64,3.11
2025010213,196.85,0.32,0.3,0.0,102.17,6.22,78.77,10.76,12.35,3.46
2025010214,392.2,0.32,0.3,0.0,102.2,6.36,62.1,14.73,17.39,3.39
2025010215,554.22,0.32,0.3,0.0,102.22,6.22,48.03,18.42,21.18,3.41
2025010216,652.42,0.32,0.3,0.0,102.15,6.18,42.67,20.21,23.29,2.94
2025010217,573.62,0.32,0.3,0.0,102.05,6.09,38.99,21.42,24.62,2.63
2025010218,508.2,0.32,0.29,0.0,101.97,5.97,36.5,22.16,25.08,2.52
2025010219,446.73,0.32,0.29,0.0,101.94,5.76,34.68,22.41,24.72,2.57
2025010220,317.08,0.32,0.29,0.0,101.95,5.6,34.58,22.0,23.12,2.64
2025010221,159.25,0.32,0.29,0.0,101.97,5.8,38.86,20.67,20.34,2.32
2025010222,20.4,0.32,0.29,0.0,101.99,6.11,51.79,16.91,15.58,1.4
2025010223,0.0,0.32,0.29,0.0,102.04,6.36,59.04,15.49,14.66,1.76
2025010300,0.0,0.32,0.29,0.0,102.11,6.84,66.44,14.79,14.04,2.08
2025010301,0.0,0.32,0.29,0.0,102.18,7.17,74.35,13.79,13.1,2.09
2025010302,0.0,0.32,0.29,0.0,102.21,7.38,80.96,12.93,12.31,2.19
2025010303,0.0,0.32,0.29,0.0,102.23,7.44,85.69,12.19,11.65,2.21
2025010304,0.0,0.32,0.29,0.0,102.2,7.36,88.35,11.56,11.02,2.17
2025010305,0.0,0.32,0.3,0.0,102.15,7.24,90.04,11.02,10.47,2.1
2025010306,0.0,0.32,0.3,0.0,102.11,7.04,91.22,10.4,9.78,2.06
2025010307,0.0,0.32,0.3,0.0,102.07,6.77,89.54,10.09,9.52,2.42
2025010308,0.0,0.32,0.3,0.0,102.07,6.49,87.77,9.76,9.2,2.83
2025010309,0.0,0.32,0.3,0.0,102.08,6.23,88.1,9.1,8.58,2.8
2025010310,0.0,0.32,0.3,0.0,102.11,6.04,88.87,8.52,8.08,2.49
2025010311,0.0,0.32,0.3,0.0,102.16,5.9,89.43,8.09,7.7,2.11
2025010312,22.23,0.32,0.3,0.0,102.22,5.83,88.25,8.12,8.15,2.34
2025010313,194.45,0.32,0.3,0.0,102.28,5.81,76.74,10.15,11.73,2.92
2025010314,387.73,0.32,0.3,0.0,102.31,5.81,61.4,13.53,16.65,2.44
2025010315,554.22,0.32,0.3,0.0,102.3,5.0,40.52,17.68,21.2,2.52
2025010316,661.1,0.32,0.3,0.0,102.23,4.2,27.88,20.88,24.7,2.3
2025010317,689.22,0.31,0.29,0.0,102.08,3.81,22.92,22.47,26.27,2.41
2025010318,660.78,0.31,0.29,0.0,101.92,3.62,20.8,23.2,26.59,2.53
2025010319,562.72,0.31,0.28,0.0,101.85,3.51,20.07,23.27,25.59,2.98
2025010320,405.7,0.31,0.28,0.0,101.84,3.52,20.96,22.6,23.48,3.39
2025010321,209.02,0.31,0.28,0.0,101.89,3.95,26.12,20.89,20.26,2.89
2025010322,27.05,0.31,0.28,0.0,101.95,4.16,36.52,16.37,14.59,1.59
2025010323,0.0,0.31,0.28,0.0,102.02,3.95,40.1,14.12,12.69,1.69
2025010400,0.0,0.31,0.28,0.0,102.09,3.94,42.95,13.04,11.78,1.9
2025010401,0.0,0.31,0.28,0.0,102.14,4.02,47.09,11.95,10.81,1.94
2025010402,0.0,0.31,0.28,0.0,102.16,4.32,54.22,10.91,9.88,1.82
2025010403,0.0,0.31,0.28,0.0,102.16,4.81,63.45,10.16,9.24,1.82
2025010404,0.0,0.31,0.28,0.0,102.14,5.49,74.44,9.74,8.92,1.98
2025010405,0.0,0.31,0.29,0.0,102.12,6.14,84.62,9.49,8.73,2.21
2025010406,0.0,0.31,0.29,0.0,102.13,6.59,92.22,9.26,8.52,2.3
2025010407,0.0,0.31,0.29,0.04,102.12,6.89,98.09,9.0,8.27,2.3
2025010408,0.0,0.31,0.29,0.05,102.12,7.06,100.0,8.87,8.18,2.51
2025010409,0.0,0.31,0.29,0.01,102.15,6.89,99.73,8.76,8.08,2.86
2025010410,0.0,0.31,0.29,0.0,102.21,6.32,94.4,8.31,7.62,2.99
2025010411,0.0,0.31,0.29,0.0,102.28,5.63,88.54,7.57,6.88,2.96
2025010412,24.62,0.31,0.29,0.0,102.36,5.05,81.1,7.28,7.11,3.24
2025010413,203.75,0.31,0.29,0.0,102.43,4.33,60.98,9.23,10.48,4.07
2025010414,402.77,0.31,0.29,0.0,102.49,3.19,37.52,11.95,14.04,4.69
2025010415,562.17,0.31,0.29,0.0,102.49,2.9,29.03,14.42,17.36,4.34
2025010416,663.65,0.31,0.29,0.0,102.4,2.99,26.0,16.6,20.15,3.98
2025010417,695.62,0.31,0.28,0.0,102.26,3.22,24.87,18.45,22.2,3.65
2025010418,660.78,0.31,0.28,0.0,102.12,3.38,23.85,19.88,23.4,3.3
2025010419,559.0,0.31,0.28,0.0,102.05,3.5,23.63,20.58,23.3,3.02
2025010420,404.08,0.31,0.27,0.0,102.04,3.64,24.83,20.41,21.78,2.84
2025010421,210.07,0.31,0.27,0.0,102.08,4.07,30.14,19.09,18.71,2.3
2025010422,28.33,0.31,0.27,0.0,102.13,4.4,43.26,14.63,12.86,1.27
2025010423,0.0,0.31,0.28,0.0,102.21,4.41,49.75,12.53,11.15,1.45
2025010500,0.0,0.31,0.28,0.0,102.28,4.63,55.6,11.59,10.35,1.57
2025010501,0.0,0.31,0.28,0.0,102.32,4.8,61.3,10.67,9.48,1.56
2025010502,0.0,0.31,0.28,0.0,102.34,4.88,66.24,9.76,8.55,1.41
2025010503,0.0,0.31,0.28,0.0,102.35,4.92,70.34,8.99,7.69,1.29
2025010504,0.0,0.31,0.28,0.0,102.32,4.92,73.08,8.42,7.01,1.23
2025010505,0.0,0.31,0.28,0.0,102.26,4.92,75.31,7.97,6.57,1.25
2025010506,0.0,0.31,0.28,0.0,102.21,4.91,77.09,7.59,6.27,1.3
2025010507,0.0,0.31,0.29,0.0,102.15,4.91,78.48,7.32,6.11,1.39
2025010508,0.0,0.31,0.29,0.0,102.08,4.89,79.03,7.15,6.05,1.54
2025010509,0.0,0.31,0.29,0.0,102.03,4.83,78.78,7.01,6.01,1.7
2025010510,0.0,0.31,0.29,0.0,102.03,4.8,79.7,6.75,5.79,1.74
2025010511,0.0,0.31,0.29,0.0,102.08,4.89,83.61,6.33,5.41,1.6
2025010512,22.2,0.31,0.29,0.0,102.17,5.1,84.31,6.83,6.62,1.51
2025010513,186.57,0.31,0.29,0.0,102.28,5.4,70.15,10.4,11.85,2.46
2025010514,368.55,0.31,0.29,0.0,102.32,5.73,59.36,13.84,16.98,2.06
2025010515,534.1,0.31,0.29,0.0,102.25,5.5,41.14,18.94,22.06,2.8
2025010516,615.7,0.31,0.29,0.0,102.13,5.01,31.58,21.7,25.34,2.67
2025010517,630.75,0.31,0.28,0.0,101.98,4.87,28.07,23.15,26.92,2.54
2025010518,624.35,0.31,0.28,0.0,101.86,5.1,28.07,23.89,27.37,2.45
2025010519,529.67,0.31,0.28,0.0,101.75,5.4,29.42,24.04,26.65,2.53
2025010520,372.02,0.31,0.27,0.0,101.7,5.77,32.29,23.58,24.77,2.55
2025010521,186.85,0.31,0.27,0.0,101.7,6.63,40.49,22.13,21.6,1.85
2025010522,22.77,0.31,0.27,0.0,101.72,7.1,56.02,17.99,16.16,1.08
2025010523,0.0,0.31,0.28,0.0,101.75,7.5,66.25,16.21,14.75,1.26
2025010600,0.0,0.31,0.28,0.0,101.78,8.26,76.2,15.53,14.24,1.38
2025010601,0.0,0.31,0.28,0.0,101.82,8.86,84.84,14.95,13.78,1.52
2025010602,0.0,0.31,0.28,0.0,101.8,9.29,91.3,14.54,13.48,1.64
2025010603,0.0,0.31,0.28,0.0,101.74,9.53,96.17,14.12,13.13,1.71
2025010604,0.0,0.31,0.28,0.0,101.69,9.63,100.0,13.62,12.61,1.71
2025010605,0.0,0.31,0.28,0.0,101.63,9.71,100.0,13.07,12.05,1.62
2025010606,0.0,0.31,0.28,0.0,101.57,9.76,100.0,12.52,11.49,1.45
