datetime_utc,PRECTOTCORR,RH2M,T2M,WS2M
2023010100,0.07,85.55,22.39,0.98
2023010101,0.09,90.85,21.52,0.99
2023010102,0.13,95.72,20.87,1.03
2023010103,0.11,99.06,20.51,1.12
2023010104,0.1,100.0,20.25,1.16
2023010105,0.14,100.0,19.93,1.08
2023010106,0.13,100.0,19.66,1.0
2023010107,0.12,100.0,19.46,0.93
2023010108,0.17,100.0,19.43,0.9
2023010109,0.27,100.0,19.39,0.86
2023010110,0.23,100.0,19.26,0.8
2023010111,0.2,100.0,19.15,0.77
2023010112,0.24,100.0,19.33,0.74
2023010113,0.17,95.67,20.7,0.66
2023010114,0.13,91.05,21.77,0.66
2023010115,0.03,82.25,23.58,0.61
2023010116,0.01,68.87,25.64,0.71
2023010117,0.0,60.14,27.02,0.96
2023010118,0.0,59.21,27.08,1.02
2023010119,0.0,59.8,26.83,1.0
2023010120,0.01,63.1,26.4,0.82
2023010121,0.01,73.58,25.28,0.62
2023010122,0.01,75.9,23.52,0.8
2023010123,0.01,78.78,22.36,0.88
2023010200,0.01,82.76,21.61,0.96
2023010201,0.02,86.64,21.16,1.16
2023010202,0.05,92.28,20.74,1.31
2023010203,0.06,98.63,20.3,1.28
2023010204,0.12,100.0,19.95,1.16
2023010205,0.13,100.0,19.67,1.08
2023010206,0.11,100.0,19.48,1.07
2023010207,0.11,100.0,19.38,1.04
2023010208,0.11,100.0,19.21,1.0
2023010209,0.13,100.0,18.97,0.99
2023010210,0.15,100.0,18.66,1.0
2023010211,0.16,100.0,18.34,1.02
2023010212,0.2,100.0,18.67,1.03
2023010213,0.19,93.88,21.68,2.23
2023010214,0.17,84.51,23.86,2.48
2023010215,0.02,72.31,25.85,2.6
2023010216,0.01,64.45,27.1,2.66
2023010217,0.0,59.63,27.92,2.65
2023010218,0.0,56.77,28.34,2.63
2023010219,0.0,55.51,28.41,2.64
2023010220,0.0,55.74,27.96,2.72
2023010221,0.0,62.39,26.54,2.42
2023010222,0.02,75.57,23.5,1.95
2023010223,0.01,83.15,22.22,2.62
2023010300,0.0,91.28,21.35,2.56
2023010301,0.0,98.7,20.4,2.1
2023010302,0.02,100.0,19.64,1.8
2023010303,0.03,100.0,19.15,1.73
2023010304,0.04,100.0,18.79,1.73
2023010305,0.04,100.0,18.47,1.66
2023010306,0.03,100.0,18.14,1.53
2023010307,0.02,100.0,17.9,1.47
2023010308,0.01,100.0,17.79,1.53
2023010309,0.01,100.0,17.69,1.57
2023010310,0.01,100.0,17.57,1.55
2023010311,0.02,100.0,17.59,1.59
2023010312,0.0,100.0,18.43,1.96
2023010313,0.0,92.32,20.84,3.09
2023010314,0.0,82.71,23.17,3.49
2023010315,0.01,72.74,25.39,4.09
2023010316,0.03,66.54,26.92,4.25
2023010317,0.14,62.13,27.99,4.18
2023010318,0.34,59.53,28.54,3.95
2023010319,0.31,58.3,28.7,3.59
2023010320,0.06,58.92,28.28,3.05
2023010321,0.03,65.74,27.13,1.85
2023010322,0.01,76.72,24.56,0.98
2023010323,0.0,80.02,23.33,1.02
2023010400,0.0,84.1,22.69,1.13
2023010401,0.0,88.44,22.06,1.32
2023010402,0.0,94.11,21.25,1.41
2023010403,0.0,99.08,20.59,1.54
2023010404,0.02,100.0,20.13,1.67
2023010405,0.04,100.0,19.75,1.64
2023010406,0.05,100.0,19.5,1.6
2023010407,0.06,100.0,19.33,1.6
2023010408,0.06,100.0,19.23,1.62
2023010409,0.07,100.0,19.37,1.73
2023010410,0.05,100.0,19.72,1.85
2023010411,0.05,100.0,20.01,2.0
2023010412,0.28,100.0,20.51,2.32
2023010413,0.28,93.78,22.03,2.97
2023010414,0.64,88.35,23.39,2.91
2023010415,2.71,79.65,25.09,3.52
2023010416,2.85,74.12,26.32,3.65
2023010417,3.12,70.41,27.1,3.44
2023010418,2.95,68.72,27.36,3.17
2023010419,3.7,68.17,27.33,2.93
2023010420,3.36,69.43,27.06,2.51
2023010421,3.18,77.91,25.92,1.32
2023010422,2.49,84.85,23.93,1.01
2023010423,1.85,87.78,23.1,1.08
2023010500,1.39,90.32,22.66,1.16
2023010501,1.0,92.6,22.29,1.28
2023010502,0.76,94.56,21.97,1.42
2023010503,0.78,96.32,21.69,1.6
2023010504,0.54,97.66,21.49,1.87
2023010505,0.85,98.45,21.33,2.12
2023010506,0.9,98.55,21.18,2.2
2023010507,1.02,98.64,21.01,2.17
2023010508,0.82,98.86,20.77,1.98
2023010509,1.19,99.38,20.45,1.69
2023010510,0.95,99.73,20.15,1.47
2023010511,1.25,99.92,19.92,1.38
2023010512,4.79,98.8,20.17,1.57
2023010513,5.7,95.02,21.59,2.53
2023010514,9.21,92.23,22.69,2.59
2023010515,7.69,84.96,24.21,3.12
2023010516,5.44,77.56,25.29,3.16
2023010517,5.21,74.38,25.66,2.94
2023010518,8.11,73.98,25.6,2.67
2023010519,8.71,76.34,25.22,2.38
2023010520,8.49,81.17,24.59,1.99
2023010521,5.55,87.89,23.5,1.48
2023010522,3.03,93.61,21.9,1.32
2023010523,0.89,95.35,20.98,1.58
2023010600,0.2,93.65,20.25,1.72
2023010601,0.06,88.97,19.4,1.67
2023010602,0.01,82.51,18.58,1.57
2023010603,0.0,77.08,17.94,1.61
2023010604,0.0,74.27,17.42,1.8
2023010605,0.0,75.41,17.02,2.12
2023010606,0.0,79.38,16.59,2.55
2023010607,0.0,85.45,15.82,2.8
2023010608,0.0,90.45,14.72,2.76
2023010609,0.0,91.96,13.69,2.82
2023010610,0.0,89.05,12.76,2.75
2023010611,0.0,90.65,11.63,2.42
2023010612,0.0,87.61,11.28,2.65
2023010613,0.0,76.42,12.98,3.16
2023010614,0.0,60.27,15.84,3.6
2023010615,0.0,41.65,18.45,4.57
2023010616,0.0,35.84,19.94,4.15
2023010617,0.0,32.54,21.04,3.68
2023010618,0.0,30.97,21.67,3.32
2023010619,0.0,30.42,21.79,3.13
2023010620,0.0,31.7,21.28,2.92
2023010621,0.0,41.52,19.74,1.94
2023010622,0.0,54.25,15.9,1.14
2023010623,0.0,55.65,14.11,1.22
2023010700,0.0,57.94,13.22,1.25
2023010701,0.0,59.94,12.45,1.25
2023010702,0.0,62.11,11.74,1.22
2023010703,0.0,65.27,10.99,1.2
2023010704,0.0,69.05,10.2,1.19
2023010705,0.0,73.59,9.39,1.25
2023010706,0.09,77.16,8.8,1.42
2023010707,0.09,79.75,8.28,1.51
2023010708,0.09,82.11,7.82,1.52
2023010709,0.04,83.99,7.46,1.54
2023010710,0.04,85.66,7.2,1.6
2023010711,0.02,87.69,7.0,1.67
2023010712,0.0,85.31,7.73,1.92
2023010713,0.0,71.65,11.17,3.19
2023010714,0.0,65.09,14.18,2.68
2023010715,0.0,50.19,18.6,2.62
2023010716,0.0,43.9,20.97,2.31
2023010717,0.0,41.46,22.18,2.02
2023010718,0.0,40.17,22.88,1.97
2023010719,0.0,39.48,23.16,2.06
2023010720,0.0,40.24,22.77,2.19
2023010721,0.0,50.16,21.2,1.72
2023010722,0.0,63.6,17.11,1.31
2023010723,0.0,72.13,15.33,1.56
2023010800,0.0,82.02,14.62,1.71
2023010801,0.0,91.72,13.95,1.76
2023010802,0.0,99.63,13.38,1.72
2023010803,0.0,100.0,12.87,1.56
2023010804,0.0,100.0,12.46,1.34
