datetime_utc,ALLSKY_SFC_SW_DWN,GWETROOT,GWETTOP,PRECTOTCORR,PS,QV2M,RH2M,T2M,TS,WS2M
2024010100,0.0,0.41,0.45,0.0,102.03,7.54,73.92,14.63,11.36,1.06
2024010101,0.0,0.41,0.45,0.0,102.09,7.59,76.75,14.16,10.58,0.99
2024010102,0.0,0.41,0.45,0.0,102.12,7.64,79.87,13.65,9.88,0.85
2024010103,0.0,0.41,0.46,0.0,102.12,7.68,79.98,13.71,9.39,0.78
2024010104,0.0,0.41,0.46,0.0,102.1,7.73,82.98,13.24,8.92,0.74
2024010105,0.0,0.41,0.46,0.0,102.06,7.77,87.35,12.53,8.16,0.77
2024010106,0.0,0.41,0.46,0.02,102.04,7.8,94.89,11.33,7.73,0.85
2024010107,0.0,0.41,0.46,0.09,102.03,7.81,100.0,10.45,7.38,1.05
2024010108,0.0,0.41,0.46,0.13,102.0,7.8,100.0,9.61,7.06,1.1
2024010109,0.0,0.41,0.46,0.14,101.97,7.76,100.0,9.29,6.64,1.06
2024010110,0.0,0.41,0.46,0.14,101.98,7.72,100.0,9.06,6.24,1.03
2024010111,0.0,0.41,0.46,0.13,102.05,7.68,100.0,9.02,5.9,0.97
2024010112,23.27,0.41,0.46,0.11,102.1,7.66,100.0,9.58,7.29,0.77
2024010113,169.95,0.41,0.47,0.07,102.14,7.88,91.19,12.1,13.61,0.55
2024010114,325.35,0.41,0.47,0.02,102.17,8.36,82.3,14.58,17.95,0.39
2024010115,455.27,0.41,0.46,0.0,102.19,8.48,64.64,18.6,21.15,1.94
2024010116,526.38,0.4,0.46,0.0,102.11,8.67,60.11,20.11,22.92,2.25
2024010117,526.53,0.4,0.45,0.0,101.99,8.77,57.66,20.95,23.64,2.45
2024010118,424.25,0.4,0.45,0.0,101.88,8.78,55.75,21.5,23.67,2.59
2024010119,341.38,0.4,0.44,0.01,101.8,8.78,54.83,21.76,23.2,2.6
2024010120,253.12,0.4,0.44,0.01,101.74,8.69,55.69,21.33,21.57,2.46
2024010121,125.0,0.4,0.44,0.01,101.75,9.22,64.19,19.98,19.25,1.47
2024010122,15.15,0.4,0.44,0.0,101.78,8.84,70.52,17.81,16.71,1.1
2024010123,0.0,0.4,0.45,0.0,101.81,8.54,72.47,16.84,15.89,1.3
2024010200,0.0,0.4,0.45,0.0,101.83,8.63,75.32,16.4,15.55,1.41
2024010201,0.0,0.4,0.45,0.0,101.87,8.75,78.88,15.9,15.07,1.58
2024010202,0.0,0.4,0.45,0.0,101.86,8.88,83.54,15.23,14.37,1.61
2024010203,0.0,0.4,0.45,0.0,101.83,9.01,86.56,14.9,14.15,1.75
2024010204,0.0,0.4,0.45,0.0,101.85,9.11,89.87,14.49,13.72,1.82
2024010205,0.0,0.4,0.45,0.01,101.85,9.26,91.76,14.42,13.75,1.97
2024010206,0.0,0.4,0.46,0.07,101.83,9.45,95.63,14.09,13.42,1.74
