iter	Passed	Remaining
429	1903	20229
430	1906	20210
431	1909	20192
432	1913	20184
433	1917	20176
434	1920	20155
435	1928	20185
436	1933	20186
437	1941	20219
438	1947	20233
439	1954	20257
440	1959	20252
441	1962	20234
442	1969	20264
443	1972	20244
444	1976	20236
445	1979	20210
446	1982	20192
447	1988	20199
448	1995	20225
449	1999	20218
450	2002	20197
451	2005	20180
452	2009	20167
453	2012	20146
454	2017	20156
455	2023	20161
456	2026	20147
457	2032	20160
458	2036	20146
459	2043	20167
460	2050	20185
461	2058	20215
462	2061	20205
463	2066	20199
464	2069	20180
465	2072	20164
466	2075	20148
467	2079	20135
468	2082	20116
469	2085	20101
470	2088	20083
471	2091	20063
472	2094	20045
473	2097	20027
474	2100	20013
475	2108	20044
476	2113	20043
477	2120	20061
478	2126	20071
479	2136	20114
480	2143	20140
481	2150	20161
482	2158	20182
483	2166	20214
484	2177	20269
485	2180	20256
486	2184	20245
487	2192	20273
488	2198	20285
489	2202	20272
490	2208	20278
491	2214	20292
492	2222	20316
493	2230	20342
494	2238	20370
495	2243	20369
496	2251	20399
497	2261	20441
498	2267	20453
499	2276	20490
500	2283	20505
501	2287	20495
502	2290	20477
503	2294	20467
504	2303	20506
505	2319	20604
506	2331	20663
507	2335	20655
508	2340	20650
509	2347	20671
510	2352	20665
511	2360	20693
512	2367	20705
513	2370	20684
514	2372	20665
515	2376	20649
516	2379	20632
517	2384	20632
518	2387	20617
519	2391	20605
520	2397	20609
521	2402	20607
522	2409	20623
523	2412	20608
524	2414	20584
525	2422	20605
526	2427	20601
527	2431	20589
528	2434	20575
529	2438	20562
530	2440	20542
531	2443	20521
532	2446	20503
533	2449	20484
534	2452	20469
535	2458	20476
536	2463	20474
537	2466	20454
538	2469	20437
539	2472	20423
540	2478	20431
541	2482	20421
542	2486	20406
543	2489	20394
544	2493	20379
545	2496	20363
546	2500	20359
547	2505	20357
548	2508	20339
549	2511	20320
550	2514	20299
551	2516	20278
552	2519	20263
553	2523	20255
554	2527	20242
555	2530	20228
556	2533	20207
557	2535	20185
558	2538	20163
559	2540	20139
560	2542	20116
561	2544	20096
562	2548	20082
563	2552	20072
564	2555	20056
