iter	Passed	Remaining
420	2274	24733
421	2279	24725
422	2283	24711
423	2288	24697
424	2292	24682
425	2298	24677
426	2303	24664
427	2307	24648
428	2312	24643
429	2317	24629
430	2322	24617
431	2327	24609
432	2332	24598
433	2336	24584
434	2341	24567
435	2345	24557
436	2350	24544
437	2355	24531
438	2360	24529
439	2365	24515
440	2370	24506
441	2376	24504
442	2381	24495
443	2385	24483
444	2391	24480
445	2396	24469
446	2400	24455
447	2405	24444
448	2410	24433
449	2414	24418
450	2420	24411
451	2425	24406
452	2430	24392
453	2434	24381
454	2439	24372
455	2444	24360
456	2449	24348
457	2453	24335
458	2458	24326
459	2463	24315
460	2468	24305
461	2473	24296
462	2478	24284
463	2483	24278
464	2488	24271
465	2493	24259
466	2498	24253
467	2503	24244
468	2508	24232
469	2513	24222
470	2517	24207
471	2523	24203
472	2528	24198
473	2533	24187
474	2538	24181
475	2543	24172
476	2548	24161
477	2553	24158
478	2558	24148
479	2563	24135
480	2567	24124
481	2572	24116
482	2577	24105
483	2582	24095
484	2588	24095
485	2592	24082
486	2597	24071
487	2603	24069
488	2607	24057
489	2612	24049
490	2618	24042
491	2622	24032
492	2627	24018
493	2632	24012
494	2637	24001
495	2641	23989
496	2646	23977
497	2651	23970
498	2656	23958
499	2660	23948
500	2667	23950
501	2672	23941
502	2676	23933
503	2681	23924
504	2686	23914
505	2691	23902
506	2695	23890
507	2701	23884
508	2706	23879
509	2710	23867
510	2716	23864
511	2721	23855
512	2726	23845
513	2731	23838
514	2736	23828
515	2740	23815
516	2745	23806
517	2750	23796
518	2754	23785
519	2759	23774
520	2764	23770
521	2769	23759
522	2774	23747
523	2779	23739
524	2784	23731
525	2791	23746
526	2797	23742
527	2801	23731
528	2806	23723
529	2812	23720
530	2817	23709
531	2821	23700
532	2827	23696
533	2832	23685
534	2836	23674
535	2841	23667
536	2847	23666
537	2852	23657
538	2857	23648
539	2862	23642
540	2866	23629
541	2871	23618
542	2876	23612
543	2881	23602
544	2886	23591
545	2891	23590
546	2896	23580
547	2901	23573
548	2908	23579
549	2913	23569
550	2917	23559
551	2922	23549
552	2927	23542
553	2932	23533
554	2937	23522
555	2942	23518
556	2947	23507
557	2951	23496
558	2956	23489
559	2961	23478
560	2965	23468
561	2970	23457
562	2975	23450
563	2980	23440
564	2984	23430
565	2990	23424
566	2994	23415
567	2999	23403
568	3004	23393
569	3008	23385
570	3013	23375
571	3018	23364
572	3023	23359
573	3028	23349
574	3032	23339
575	3038	23334
576	3042	23321
577	3047	23313
578	3051	23302
579	3057	23299
580	3061	23287
581	3066	23278
582	3071	23272
583	3076	23262
584	3081	23252
585	3086	23251
586	3091	23241
587	3096	23232
588	3101	23227
589	3106	23218
590	3110	23208
591	3116	23201
592	3121	23199
593	3126	23191
594	3131	23186
595	3137	23180
596	3141	23169
597	3146	23159
598	3151	23151
599	3155	23142
600	3160	23134
601	3165	23124
602	3169	23115
603	3174	23107
604	3179	23096
605	3184	23091
606	3189	23083
607	3194	23073
608	3199	23066
609	3204	23058
610	3208	23049
611	3213	23038
612	3218	23031
613	3223	23024
614	3227	23014
615	3232	23008
616	3237	22998
617	3242	22987
618	3246	22978
619	3251	22971
620	3256	22960
621	3260	22951
622	3266	22946
623	3270	22936
624	3275	22926
625	3280	22922
626	3285	22912
627	3289	22903
628	3294	22893
629	3299	22887
630	3304	22877
631	3308	22869
632	3314	22863
633	3318	22853
634	3322	22842
635	3329	22843
636	3334	22837
637	3339	22829
638	3344	22827
639	3349	22820
640	3354	22810
641	3360	22808
642	3364	22800
643	3369	22791
644	3374	22783
645	3379	22778
646	3384	22768
